Group Name,Model,Feature Set,Test AUC,Test Accuracy
united states_1_fb_white,NN,Image Features,64.55,61.21
united states_1_fb_white,LR,Image Features,64.26,60.65
united states_1_fb_white,NN,Image and Self Reported Features,64.33,61.1
united states_1_fb_white,LR,Image and Self Reported Features,64.3,60.82
united states_1_fb_white,NN,Image and Extracted Features,63.93,60.48
united states_1_fb_white,LR,Image and Extracted Features,69.69,65.17
united states_1_fb_white,NN,"Image, Self-reported and Extracted Features",63.98,55.55
united states_1_fb_white,LR,"Image, Self-reported and Extracted Features",69.75,65.26
united states_1_fb_asian,NN,Image Features,67.9,66.73
united states_1_fb_asian,LR,Image Features,63.53,65.97
united states_1_fb_asian,NN,Image and Self Reported Features,66.5,66.92
united states_1_fb_asian,LR,Image and Self Reported Features,63.96,65.3
united states_1_fb_asian,NN,Image and Extracted Features,63.88,66.25
united states_1_fb_asian,LR,Image and Extracted Features,71.3,70.54
united states_1_fb_asian,NN,"Image, Self-reported and Extracted Features",65.49,66.73
united states_1_fb_asian,LR,"Image, Self-reported and Extracted Features",71.26,70.07
united states_1_fb_india,NN,Image Features,60.23,70.02
united states_1_fb_india,LR,Image Features,61.83,65.32
united states_1_fb_india,NN,Image and Self Reported Features,64.01,71.31
united states_1_fb_india,LR,Image and Self Reported Features,61.82,65.32
united states_1_fb_india,NN,Image and Extracted Features,58.1,68.07
united states_1_fb_india,LR,Image and Extracted Features,64.79,67.1
united states_1_fb_india,NN,"Image, Self-reported and Extracted Features",58.57,67.1
united states_1_fb_india,LR,"Image, Self-reported and Extracted Features",64.68,67.91
united states_1_fb_black,NN,Image Features,82.83,82.24
united states_1_fb_black,LR,Image Features,80.53,82.41
united states_1_fb_black,NN,Image and Self Reported Features,83.4,83.13
united states_1_fb_black,LR,Image and Self Reported Features,81.18,82.34
united states_1_fb_black,NN,Image and Extracted Features,81.92,81.59
united states_1_fb_black,LR,Image and Extracted Features,84.68,84.67
united states_1_fb_black,NN,"Image, Self-reported and Extracted Features",82.87,82.21
united states_1_fb_black,LR,"Image, Self-reported and Extracted Features",84.67,84.61
united kingdom_1_dating_white,NN,Image Features,67.32,65.34
united kingdom_1_dating_white,LR,Image Features,64.05,62.9
united kingdom_1_dating_white,NN,Image and Self Reported Features,67.03,64.45
united kingdom_1_dating_white,LR,Image and Self Reported Features,64.19,63.1
united kingdom_1_dating_white,NN,Image and Extracted Features,65.61,63.85
united kingdom_1_dating_white,LR,Image and Extracted Features,66.4,64.38
united kingdom_1_dating_white,NN,"Image, Self-reported and Extracted Features",66.1,64.18
united kingdom_1_dating_white,LR,"Image, Self-reported and Extracted Features",66.42,64.43
united kingdom_1_dating_black,NN,Image Features,61.78,71.01
united kingdom_1_dating_black,LR,Image Features,57.48,64.95
united kingdom_1_dating_black,NN,Image and Self Reported Features,66.84,71.54
united kingdom_1_dating_black,LR,Image and Self Reported Features,57.84,65.88
united kingdom_1_dating_black,NN,Image and Extracted Features,59.4,71.41
united kingdom_1_dating_black,LR,Image and Extracted Features,64.54,71.28
united kingdom_1_dating_black,NN,"Image, Self-reported and Extracted Features",57.02,70.09
united kingdom_1_dating_black,LR,"Image, Self-reported and Extracted Features",64.55,71.28
united kingdom_1_dating_india,NN,Image Features,47.6,71.81
united kingdom_1_dating_india,LR,Image Features,48.64,65.77
united kingdom_1_dating_india,NN,Image and Self Reported Features,48.55,71.81
united kingdom_1_dating_india,LR,Image and Self Reported Features,48.91,67.79
united kingdom_1_dating_india,NN,Image and Extracted Features,50.04,71.81
united kingdom_1_dating_india,LR,Image and Extracted Features,50.36,69.8
united kingdom_1_dating_india,NN,"Image, Self-reported and Extracted Features",55.7,72.48
united kingdom_1_dating_india,LR,"Image, Self-reported and Extracted Features",50.29,69.8
united kingdom_1_dating_asian,NN,Image Features,51.89,69.21
united kingdom_1_dating_asian,LR,Image Features,54.42,59.6
united kingdom_1_dating_asian,NN,Image and Self Reported Features,52.29,69.21
united kingdom_1_dating_asian,LR,Image and Self Reported Features,54.31,58.28
united kingdom_1_dating_asian,NN,Image and Extracted Features,54.1,68.54
united kingdom_1_dating_asian,LR,Image and Extracted Features,54.1,60.6
united kingdom_1_dating_asian,NN,"Image, Self-reported and Extracted Features",54.03,67.88
united kingdom_1_dating_asian,LR,"Image, Self-reported and Extracted Features",54.08,60.26
canada_1_dating_india,NN,Image Features,53.67,77.86
canada_1_dating_india,LR,Image Features,58.67,68.27
canada_1_dating_india,NN,Image and Extracted Features,56.16,76.01
canada_1_dating_india,LR,Image and Extracted Features,63.6,74.91
canada_1_dating_india,NN,"Image, Self-reported and Extracted Features",54.87,77.86
canada_1_dating_india,LR,"Image, Self-reported and Extracted Features",63.5,75.28
canada_1_dating_asian,NN,Image Features,57.99,72.43
canada_1_dating_asian,LR,Image Features,51.99,66.04
canada_1_dating_asian,NN,Image and Self Reported Features,56.29,72.27
canada_1_dating_asian,LR,Image and Self Reported Features,52.24,65.89
canada_1_dating_asian,NN,Image and Extracted Features,50.81,70.25
canada_1_dating_asian,LR,Image and Extracted Features,55.35,69.63
canada_1_dating_asian,NN,"Image, Self-reported and Extracted Features",56.78,71.96
canada_1_dating_asian,LR,"Image, Self-reported and Extracted Features",55.47,69.78
canada_1_dating_black,NN,Image Features,59.09,76.65
canada_1_dating_black,LR,Image Features,59.66,70.12
canada_1_dating_black,NN,Image and Self Reported Features,60.04,75.94
canada_1_dating_black,LR,Image and Self Reported Features,59.62,70.52
canada_1_dating_black,NN,Image and Extracted Features,57.05,76.73
canada_1_dating_black,LR,Image and Extracted Features,60.9,75.3
canada_1_dating_black,NN,"Image, Self-reported and Extracted Features",58.87,76.65
canada_1_dating_black,LR,"Image, Self-reported and Extracted Features",60.92,75.14
canada_1_dating_white,NN,Image Features,62.82,69.52
canada_1_dating_white,LR,Image Features,61.01,67.47
canada_1_dating_white,NN,Image and Self Reported Features,63.57,69.62
canada_1_dating_white,LR,Image and Self Reported Features,61.04,67.47
canada_1_dating_white,NN,Image and Extracted Features,63.09,68.52
canada_1_dating_white,LR,Image and Extracted Features,62.63,68.91
canada_1_dating_white,NN,"Image, Self-reported and Extracted Features",62.6,64.59
canada_1_dating_white,LR,"Image, Self-reported and Extracted Features",62.65,68.96
canada_0_dating_asian,NN,Image Features,68.28,63.53
canada_0_dating_asian,LR,Image Features,62.51,58.94
canada_0_dating_asian,NN,Image and Self Reported Features,69.32,67.66
canada_0_dating_asian,LR,Image and Self Reported Features,62.75,59.63
