Group Name,Model,Feature Set,Test AUC,Test Accuracy
US_1_FB,NN,Image Features,71.79,67.28
US_1_FB,LR,Image Features,72.14,67.58
US_1_FB,NN,Image and Self Reported Features,72.22,67.63
US_1_FB,LR,Image and Self Reported Features,72.16,67.5
US_1_FB,NN,Image and Extracted Features,72.34,67.06
US_1_FB,LR,Image and Extracted Features,76.07,70.44
US_1_FB,NN,"Image, Self-reported and Extracted Features",71.84,65.33
US_1_FB,LR,"Image, Self-reported and Extracted Features",76.13,70.57
UK_1_dating,NN,Image Features,66.59,66.42
UK_1_dating,LR,Image Features,65.44,65.08
UK_1_dating,NN,Image and Self Reported Features,67.16,65.69
UK_1_dating,LR,Image and Self Reported Features,65.46,65.11
UK_1_dating,NN,Image and Extracted Features,65.15,59.91
UK_1_dating,LR,Image and Extracted Features,67.07,66.48
UK_1_dating,NN,"Image, Self-reported and Extracted Features",65.58,56.88
UK_1_dating,LR,"Image, Self-reported and Extracted Features",67.09,66.54
Canada_1_dating,NN,Image Features,64.06,71.19
Canada_1_dating,LR,Image Features,62.44,69.75
Canada_1_dating,NN,Image and Self Reported Features,64.11,71.09
Canada_1_dating,LR,Image and Self Reported Features,62.44,69.75
Canada_1_dating,NN,Image and Extracted Features,62.16,70.63
Canada_1_dating,LR,Image and Extracted Features,63.37,70.68
Canada_1_dating,NN,"Image, Self-reported and Extracted Features",62.92,70.5
Canada_1_dating,LR,"Image, Self-reported and Extracted Features",63.39,70.73
Canada_0_dating,NN,Image Features,70.46,65.12
Canada_0_dating,LR,Image Features,68.41,64.18
Canada_0_dating,NN,Image and Self Reported Features,71.03,65.87
Canada_0_dating,LR,Image and Self Reported Features,68.45,64.0
Canada_0_dating,NN,Image and Extracted Features,69.3,64.31
Canada_0_dating,LR,Image and Extracted Features,69.55,65.12
Canada_0_dating,NN,"Image, Self-reported and Extracted Features",68.93,63.63
Canada_0_dating,LR,"Image, Self-reported and Extracted Features",69.58,65.01
US_0_dating,NN,Image Features,74.69,70.87
US_0_dating,LR,Image Features,75.46,71.46
US_0_dating,NN,Image and Self Reported Features,75.13,71.17
US_0_dating,LR,Image and Self Reported Features,75.47,71.48
US_0_dating,NN,Image and Extracted Features,74.66,70.7
US_0_dating,LR,Image and Extracted Features,75.47,71.48
US_0_dating,NN,"Image, Self-reported and Extracted Features",74.62,70.33
US_0_dating,LR,"Image, Self-reported and Extracted Features",75.49,71.47
US_0_FB,NN,Image Features,73.83,65.98
US_0_FB,LR,Image Features,73.06,66.98
US_0_FB,NN,Image and Self Reported Features,74.14,61.39
US_0_FB,LR,Image and Self Reported Features,73.1,66.84
US_0_FB,NN,Image and Extracted Features,54.5,40.69
US_0_FB,LR,Image and Extracted Features,77.22,70.7
US_0_FB,NN,"Image, Self-reported and Extracted Features",57.32,60.18
US_0_FB,LR,"Image, Self-reported and Extracted Features",77.22,70.59
US_1_dating,NN,Image Features,67.63,62.57
US_1_dating,LR,Image Features,68.55,63.3
US_1_dating,NN,Image and Self Reported Features,68.04,62.87
US_1_dating,LR,Image and Self Reported Features,68.55,63.29
US_1_dating,NN,Image and Extracted Features,67.74,62.49
US_1_dating,LR,Image and Extracted Features,68.55,63.25
US_1_dating,NN,"Image, Self-reported and Extracted Features",67.93,62.26
US_1_dating,LR,"Image, Self-reported and Extracted Features",68.55,63.25
UK_0_dating,NN,Image Features,68.9,63.93
UK_0_dating,LR,Image Features,65.87,61.6
UK_0_dating,NN,Image and Self Reported Features,69.88,64.31
UK_0_dating,LR,Image and Self Reported Features,65.93,61.79
UK_0_dating,NN,Image and Extracted Features,66.67,60.75
UK_0_dating,LR,Image and Extracted Features,67.82,63.16
UK_0_dating,NN,"Image, Self-reported and Extracted Features",67.08,63.18
UK_0_dating,LR,"Image, Self-reported and Extracted Features",67.84,63.18
